SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2,TIPO,PERSONA
W,W,156538.0419,13,-,W,134232.296,13,-,M,71970.94106,4,B/GRACIAS/H/M/N/U/V,0,3
Y,Y,78571.42717,7,PERDÓN,Y,23081.52606,7,PERDÓN,Y,274487.9851,8,A/Â¿CÃ“MO ESTÃS?/PER,0,3
A,A,105015.027,11,S/T,A,103104.334,11,T,A,97788.02,11,S/T,0,4
B,B,76562.419,13,-,B,60039.315,13,-,B,109410.098,13,-,0,4
C,C,113241.826,13,-,C,101711.337,13,-,C,137578.591,13,-,0,4
D,D,117083.183,12,Z,D,108079.377,13,-,D,122600.054,11,Z,0,4
E,E,31302.847,2,A/D/E/I/N/O/T,E,156133.712,13,-,E,169665.291,13,-,0,4
F,F,52489.775,5,-,F,130434.133,13,-,F,170096.104,13,-,0,4
G,G,120144.854,11,YO,G,111122.138,13,-,G,113609.655,12,YO,0,4
H,H,77789.345,6,K/N/P/X/ï¿,H,81444.987,6,NO/R/U,H,86395.27,6,K/N/R/U/X/ï¿,0,4
I,I,83565.203,6,H/J/SI,I,60055.957,5,H/J/SI,I,94547.443,6,H/J/SI,0,4
L,L,143187.581,13,-,L,126567.531,13,-,L,74618.153,4,A/D/G/H/K/L,0,4
M,Ñ,70235.168,6,BN/M/N/U,Ñ,58025.237,6,BN/H/M/U,M,51218.597,5,BN/N/ï¿,0,4
N,N,58336.398,7,NO/R/U,N,41437.455,7,NO/M/ï¿,N,22626.566,4,M/N/NO/R/U/V/ï¿,0,4
O,O,77113.212,9,E,O,50182.843,7,E,E,141496.223,11,I/T,0,4
P,P,45232.213,7,K,P,47157.803,7,K,P,96742.216,8,K,0,4
R,R,85741.467,7,U,R,71541.716,7,U,R,114173.895,8,U,0,4
S,A,60578.503,4,E/F/L/N/T/TU,S,101264.448,12,T,S,160310.835,12,T,0,4
T,T,81452.333,7,S,T,104328.099,10,S,T,142396.302,9,S,0,4
U,U,119774.922,13,-,U,104772.978,13,-,U,129620.123,13,-,0,4
V,V,13108.323,13,-,V,86328.556,9,U,V,144452.399,11,U,0,4
W,W,102877.497,13,-,W,81564.823,13,-,W,142472.254,12,M,0,4
Y,Y,80159.345,7,PDN,Y,77320.482,7,PDN,Y,131822.433,7,J/PDN,0,4
A,A,73260.323,8,C/S/T,A,69758.101,7,C/S/T,A,79410.343,8,E/S/T,0,5
B,B,86668.201,13,-,B,95162.925,13,-,B,87855.873,13,-,0,5
C,C,95691.419,12,M,C,99741.257,12,M,C,94709.755,12,M,0,5
D,D,134923.637,13,-,D,125264.623,11,O,D,139079.599,12,Z,0,5
E,E,74507.909,6,C/O/S,E,49438.448,4,O/S/SI,O,73645.085,6,C/E/S/SI,0,5
F,F,11651.344,13,-,F,1094.304,13,-,F,115201.12,13,-,0,5
G,G,90270.411,9,X/YO,G,91107.633,8,X/YO,G,89753.99,9,YO,0,5
H,H,70125.365,7,K/U/ï¿,H,76006.076,8,K/N/ï¿,H,76444.163,8,K/N/ï¿,0,5
I,I,91270.968,9,H/J/SI,I,89846.037,10,H/J/SI,I,55637.938,7,J/SI,0,5
L,L,85451.059,8,D/G,L,94347.925,9,D/G,L,98027.081,8,D/G,0,5
M,M,35837.967,3,B/BIEN/C/F/MAL/O/U,M,57424.006,7,N/O/ï¿,M,57949.915,7,HOLA/O/ï¿,0,5
N,U,52271.295,5,R/U/ï¿,U,37099.305,4,U/R/ï¿,U,53841.4,6,R/U/ï¿,0,5
O,O,20558.496,2,A/B/BIEN/GRACIAS/M/MAL/T/U,O,77058.13,12,C/S/T,O,91861.443,13,-,0,5
P,P,92931.93,9,K,P,82434.427,9,K,P,93256.054,9,K,0,5
R,R,83125.867,9,U,R,74697.674,9,U,Q,137150.25,10,TU/X,0,5
S,S,27283.688,4,A/SI/T,E,42807.233,5,A/S/SI,S,16204.521,4,A/E/SI/T,0,5
T,A,83667.102,5,E/NO/O/T/TU,T,6446.442,6,A/S/SI,T,85446.378,7,A/S/SI,0,5
U,U,119670.984,11,R/ï¿,U,97169.859,11,R,U,122722.666,12,R,0,5
V,V,149880.593,13,-,V,134990.252,13,-,V,147219.027,13,-,0,5
W,W,121050.139,13,-,W,119875.74,13,-,W,125064.952,13,-,0,5
Y,Y,104518.627,8,PERDÓN,Y,87548.649,8,PERDÓN,Y,77305.532,7,PERDÓN,0,5
J,J,68679.61219,6,PERDÓN,J,70793.29107,5,I/PERDÓN,I,134342.6401,8,J,1,1
K,K,104961.5156,7,P,K,96353.95109,7,P,K,97648.19828,7,P,1,1
Ñ,U,131183.7995,12,Ñ,U,110750.2394,10,Ñ,U,132466.1236,11,Ñ,1,1
Q,D,51323.70694,3,G/L/P/Q/TU/X/YO/Z,TU,89385.81538,7,D/YO/Z,X,51693.72207,5,D/Q/TU/YO/Z,1,1
X,X,57566.85354,5,Q/TU,TU,77956.44669,7,Q/X/YO,TU,92550.89963,10,D/Q/X,1,1
Z,Z,81601.02465,6,D/I/K/R,Z,80494.12076,7,D/L,L,79047.77644,3,D/T/TU/X,1,1
BIEN,BIEN,139313.81,10,B/HOLA/ï,BIEN,88779.50797,6,BIEN/HOLA/M/MAL,BIEN,111802.6414,10,B/MAL/ï,1,1
¿CÓMO ESTÁS?,¿CÓMO ESTÁS?,425154.8645,13,-,¿CÓMO ESTÁS?,289305.1728,12,B,¿CÓMO ESTÁS?,398573.0702,13,-,1,1
GRACIAS,GRACIAS,273527.6338,13,-,GRACIAS,198723.6635,13,-,GRACIAS,324678.9948,13,-,1,1
HOLA,HOLA,63153.83825,7,B/M/MAL,MAL,63642.93623,6,B/M,HOLA,57596.85791,6,C/MAL/M/B,1,1
MAL,MAL,87510.34353,13,-,MAL,86028.16764,13,-,MAL,130702.06,13,-,1,1
NO,NO,235378.6909,13,-,NO,195987.808,10,N/R/U,NO,161676.6964,8,N,1,1
PERDÓN,J,78729.57919,5,PERDÓNN/,I,81084.53043,6,J/PERDÓNN/S,J,9140.143037,5,I/PERDÓN,1,1
SI,SI,131319.4788,13,-,SI,124996.258,13,-,SI,127221.1087,13,-,1,1
TU,TU,86986.42281,6,L/Q,N,104351.1295,7,E/NO/Z,T,53396.50113,2,B/E/K/TU/U/X,1,1
YO,YO,98214.5774,12,G,YO,113574.6004,12,G,YO,122445.3219,12,G,1,1
J,J,64776.866,6,PDN/I,J,50388.773,5,I/PERDÓN,I,130136.253,8,J,1,2
K,K,94500.145,7,P,K,84735.78,7,P,K,87621.74,7,P,1,2
Ñ,U,112802.459,11,Ñ,U,89760.102,10,Ñ,U,116953.636,11,Ñ,1,2
Q,D,41980.354,3,G/L/P/Q/TU/X/YO/Z,X,72392.59,7,D/TU/YO/Z,X,37330.944,4,D/Q/TU/YO/Z,1,2
X,X,56087.495,5,Q/TU,TU,60415.337,6,Q/X/YO,TU,73364.382,9,D/Q/X,1,2
Z,Z,81243.146,6,D/I/K/R,Z,75511.775,6,D/L,L,57775.089,3,D/K/Q/R/T/TU/X,1,2
BIEN,BIEN,124366.082,10,B/HLA/ï¿,BIEN,72196.465,6,BN/HLA/M/MAL,BIEN,110718.608,9,B/HLA/MAL/ï¿,1,2
¿CÓMO ESTÁS?,¿CÓMO ESTÁS?,403691.071,13,-,¿CÓMO ESTÁS?,288530.549,12,B,¿CÓMO ESTÁS?,390964.694,13,-,1,2
GRACIAS,GRACIAS,264370.813,13,-,GRACIAS,194389.281,13,-,GRACIAS,304617.564,13,-,1,2
HOLA,HOLA,49976.531,7,B/M/MAL,MAL,42445.012,6,B/HLA/M,HOLA,39970.759,6,C/MAL/M/B,1,2
