 SEÑA ESPERADA,HUAWEI/5001,DISTANCIA TOTAL,#INCIDENCIAS,FALSAS,SAMSUNG-B/5000,DISTANCIA TOTAL.1,#INCIDENCIAS.1,FALSAS.1,S8/5003,DISTANCIA TOTAL.2,#INCIDENCIAS.2,FALSAS.2
G,1,108635.0125,12,1,1,92790.02189,12,1,1,127742.6606,13,1
GRA,1,271263.1958,13,1,1,214282.2911,13,1,1,316012.3034,13,1
H,1,122555.0467,13,1,1,111329.7409,12,1,1,123571.1112,10,3
HLA,1,50999.21613,7,3,0,52245.99829,6,3,1,49037.70924,7,4
I,1,117403.64,10,2,1,87998.46305,8,2,1,103388.8653,10,2
J,1,69299.88149,7,2,1,52398.62051,6,2,0,135830.7418,9,1
K,1,107811.992,8,1,1,92392.70462,7,1,1,97799.70755,8,1
L,1,150896.5356,13,1,1,130215.7807,13,1,1,151471.9648,13,1
M,0,50337.03989,7,2,0,44692.49178,7,4,1,48676.55005,6,4
MAL,1,82754.80955,13,1,1,82019.34218,13,1,1,124352.1524,13,1
N,1,80886.6169,8,4,1,87286.95083,9,4,1,99592.58006,11,4
NO,1,240086.3997,13,1,1,185230.6929,11,3,1,150650.3216,9,1
O,1,133450.0369,12,1,1,94752.5901,13,1,1,18863.19364,13,1
P,0,92990.27648,8,1,1,84471.6816,7,3,1,104117.4477,7,1
PDN,0,79696.14913,5,2,0,89254.25547,7,3,0,17685.00022,6,2
Q,0,45291.1077,4,8,0,81874.91741,8,4,0,41458.63973,4,5
R,1,125211.9361,12,1,1,74585.35417,8,1,1,106497.593,10,1
S,1,135289.5003,13,1,1,148797.8321,11,2,1,168453.3002,13,1
SI,1,133810.774,13,1,1,134727.2144,13,1,1,126506.6123,13,1
T,1,76550.24329,7,2,1,81175.17093,9,2,1,106843.497,9,1
TU,1,71565.63731,6,3,0,90671.27878,8,4,0,62672.3136,3,8
U,0,74126.0354,7,2,1,75424.0611,8,2,1,105157.5738,11,1
V,1,138383.2808,13,1,1,108308.9193,13,1,1,156398.0463,13,1
W,1,156538.0419,13,1,1,134232.296,13,1,0,71970.94106,4,7
X,1,63226.34961,6,2,0,67820.5727,7,3,0,87653.35428,10,3
Y,1,78571.42717,7,1,1,23081.52606,7,1,1,274487.9851,8,3
YO,1,90311.23807,12,1,1,101231.9877,13,1,1,129785.5387,13,1
Z,1,89990.5469,8,4,1,90127.59104,6,2,0,75187.53997,4,7
Ñ,0,131625.4458,11,1,0,100887.7834,11,1,0,136613.7159,12,1
A,0,73260.323,8,3,0,69758.101,7,3,0,79410.343,8,3
B,0,86668.201,13,1,0,95162.925,13,1,0,87855.873,13,1
BN,0,42848.897,4,6,0,75838.741,11,2,0,81009.368,11,2
C,0,95691.419,12,1,0,99741.257,12,1,0,94709.755,12,1
CME,0,373233.038,12,1,0,353108.924,12,1,0,399643.668,12,1
D,0,134923.637,13,1,0,125264.623,11,1,0,139079.599,12,1
E,0,74507.909,6,3,0,49438.448,4,3,0,73645.085,6,4
F,0,11651.344,13,1,0,1094.304,13,1,0,115201.12,13,1
G,0,90270.411,9,2,0,91107.633,8,2,0,89753.99,9,1
GRA,0,202862.1,13,1,0,185015.883,13,1,0,200710.692,13,1
H,0,70125.365,7,3,0,76006.076,8,3,0,76444.163,8,3
HLA,0,81055.063,10,1,0,75834.514,10,1,0,71596.349,9,1
I,0,91270.968,9,3,0,89846.037,10,3,0,55637.938,7,2
J,0,74135.039,8,2,0,61227.376,8,2,0,61549.518,8,2
K,0,69698.226,7,1,0,61810.131,6,1,0,70196.242,7,1
L,0,85451.059,8,2,0,94347.925,9,2,0,98027.081,8,2
